Origin,Mode of Transport,Distance,Travel Time,Age Group,Weather,Peak/NoPeak,Day,Carpooling,Age,Eco_Consciousness,Total Congestion,Total Travel Time,Total Costs,Total Emissions
Birmingham,Petrol Car,95,1.7,45-54,Rain,No Peak,Weekday,3,50,5,1.5,2.55,62.79,12730
Birmingham,Petrol Car,133.2,1,25-34,Rain,No Peak,Weekend,3,30,7,1.72,1.72,79.98,17848.8
London,Petrol Car,117.4,1.8,35-44,Rain,No Peak,Weekend,3,40,6,1.72,3.096,72.87,15731.6
Bristol,Petrol Car,75.4,1.8,55-64,Rain,No Peak,Weekday,3,60,4,1.5,2.7,53.97,10103.6
Manchester,Petrol Car,69.5,1.5,35-44,Rain,No Peak,Weekend,3,40,6,1.72,2.58,51.315,9313
Manchester,Petrol Car,125.2,1.4,25-34,Rain,No Peak,Weekday,3,30,7,1.5,2.1,76.38,16776.8
Bristol,Petrol Car,65.7,1.3,35-44,Rain,No Peak,Weekend,3,40,6,1.72,2.236,49.605,8803.8
Manchester,Petrol Car,113.7,1,35-44,Rain,No Peak,Weekday,3,40,6,1.5,1.5,71.205,15235.8
Bristol,Petrol Car,94.2,1.7,25-34,Rain,No Peak,Weekday,3,30,7,1.5,2.55,62.43,12622.8
Newcastle,Petrol Car,70.9,1.3,25-34,Rain,No Peak,Weekend,3,30,7,1.72,2.236,51.945,9500.6
Birmingham,Petrol Car,87,1.4,55-64,Rain,No Peak,Weekday,3,60,4,1.5,2.1,59.19,11658
Manchester,Petrol Car,99.5,1.5,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.25,64.815,13333
Bristol,Petrol Car,12.1,1.7,35-44,Rain,No Peak,Weekend,3,40,6,1.72,2.924,25.485,1621.4
Bristol,Petrol Car,101.4,1.6,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.4,65.67,13587.6
Manchester,Petrol Car,119.5,1.4,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.408,73.815,16013
Birmingham,Petrol Car,80.9,1.7,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.55,56.445,10840.6
Bristol,Petrol Car,104.7,0.8,25-34,Rain,No Peak,Weekday,3,30,7,1.5,1.2,67.155,14029.8
London,Petrol Car,151.5,1.7,25-34,Rain,No Peak,Weekday,3,30,7,1.5,2.55,88.215,20301
London,Petrol Car,94.9,1.3,25-34,Rain,No Peak,Weekday,3,30,7,1.5,1.95,62.745,12716.6
London,Petrol Car,28.1,1.6,55-64,Rain,No Peak,Weekend,3,60,4,1.72,2.752,32.685,3765.4
London,Petrol Car,49.8,2,18-24,Rain,No Peak,Weekday,3,21,8,1.5,3,42.45,6673.2
Newcastle,Petrol Car,68.4,1.1,35-44,Rain,No Peak,Weekend,3,40,6,1.72,1.892,50.82,9165.6
Liverpool,Petrol Car,118.4,1.1,25-34,Rain,No Peak,Weekday,3,30,7,1.5,1.65,73.32,15865.6
Manchester,Petrol Car,81.4,1.6,25-34,Rain,No Peak,Weekday,3,30,7,1.5,2.4,56.67,10907.6
Liverpool,Petrol Car,122.8,1.4,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.1,75.3,16455.2
Birmingham,Petrol Car,43.2,1.5,45-54,Rain,No Peak,Weekday,3,50,5,1.5,2.25,39.48,5788.8
London,Petrol Car,133.8,2,18-24,Rain,No Peak,Weekday,3,21,8,1.5,3,80.25,17929.2
London,Petrol Car,102.1,1.8,18-24,Rain,No Peak,Weekend,3,21,8,1.72,3.096,65.985,13681.4
Birmingham,Petrol Car,94.8,1.7,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.924,62.7,12703.2
Birmingham,Petrol Car,63.3,1.3,55-64,Rain,No Peak,Weekday,3,60,4,1.5,1.95,48.525,8482.2
Bristol,Petrol Car,117.9,1.5,55-64,Rain,No Peak,Weekday,3,60,4,1.5,2.25,73.095,15798.6
Liverpool,Petrol Car,57.3,1.5,55-64,Rain,No Peak,Weekday,3,60,4,1.5,2.25,45.825,7678.2
Birmingham,Petrol Car,114.4,2,18-24,Rain,No Peak,Weekend,3,21,8,1.72,3.44,71.52,15329.6
Bristol,Petrol Car,69.7,1.2,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.064,51.405,9339.8
London,Petrol Car,85.4,1.1,35-44,Rain,No Peak,Weekend,3,40,6,1.72,1.892,58.47,11443.6
London,Petrol Car,89.2,1.1,25-34,Rain,No Peak,Weekend,3,30,7,1.72,1.892,60.18,11952.8
Birmingham,Petrol Car,75.1,1.6,25-34,Rain,No Peak,Weekend,3,30,7,1.72,2.752,53.835,10063.4
Birmingham,Petrol Car,105.4,1.3,35-44,Rain,No Peak,Weekday,3,40,6,1.5,1.95,67.47,14123.6
Liverpool,Petrol Car,82.8,1.3,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.236,57.3,11095.2
Newcastle,Petrol Car,88.4,1.6,35-44,Rain,No Peak,Weekend,3,40,6,1.72,2.752,59.82,11845.6
Manchester,Petrol Car,90.6,1.8,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.7,60.81,12140.4
Liverpool,Petrol Car,104.3,1.4,25-34,Rain,No Peak,Weekday,3,30,7,1.5,2.1,66.975,13976.2
Birmingham,Petrol Car,106.7,1.2,18-24,Rain,No Peak,Weekday,3,21,8,1.5,1.8,68.055,14297.8
Birmingham,Petrol Car,90.3,1.3,55-64,Rain,No Peak,Weekend,3,60,4,1.72,2.236,60.675,12100.2
Manchester,Petrol Car,111.1,1.5,35-44,Rain,No Peak,Weekend,3,40,6,1.72,2.58,70.035,14887.4
Birmingham,Petrol Car,148,1.2,25-34,Rain,No Peak,Weekend,3,30,7,1.72,2.064,86.64,19832
Bristol,Petrol Car,121.7,1.4,35-44,Rain,No Peak,Weekend,3,40,6,1.72,2.408,74.805,16307.8
London,Petrol Car,132.5,1.5,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.58,79.665,17755
Newcastle,Petrol Car,77,1.3,55-64,Rain,No Peak,Weekend,3,60,4,1.72,2.236,54.69,10318
Birmingham,Petrol Car,105,1.2,25-34,Rain,No Peak,Weekday,3,30,7,1.5,1.8,67.29,14070
Birmingham,Petrol Car,84.4,1.8,55-64,Rain,No Peak,Weekend,3,60,4,1.72,3.096,58.02,11309.6
Bristol,Petrol Car,74.9,1.6,55-64,Rain,No Peak,Weekday,3,60,4,1.5,2.4,53.745,10036.6
London,Petrol Car,86.5,2,18-24,Rain,No Peak,Weekend,3,21,8,1.72,3.44,58.965,11591
Bristol,Petrol Car,29.1,1.6,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.4,33.135,3899.4
London,Petrol Car,82.4,1.6,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.752,57.12,11041.6
Liverpool,Petrol Car,98.8,1.6,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.752,64.5,13239.2
Newcastle,Petrol Car,94.3,1.6,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.752,62.475,12636.2
Manchester,Petrol Car,126.8,1.6,25-34,Rain,No Peak,Weekday,3,30,7,1.5,2.4,77.1,16991.2
Manchester,Petrol Car,146,1.8,18-24,Rain,No Peak,Weekend,3,21,8,1.72,3.096,85.74,19564
Birmingham,Petrol Car,119.1,1.7,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.924,73.635,15959.4
London,Petrol Car,124.6,1.2,25-34,Rain,No Peak,Weekend,3,30,7,1.72,2.064,76.11,16696.4
Newcastle,Petrol Car,168,1.4,25-34,Rain,No Peak,Weekday,3,30,7,1.5,2.1,95.64,22512
London,Petrol Car,85.5,1.8,25-34,Rain,No Peak,Weekday,3,30,7,1.5,2.7,58.515,11457
Liverpool,Petrol Car,101.7,1.3,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.236,65.805,13627.8
Liverpool,Petrol Car,122.4,1.3,25-34,Rain,No Peak,Weekday,3,30,7,1.5,1.95,75.12,16401.6
London,Petrol Car,123,1,18-24,Rain,No Peak,Weekday,3,21,8,1.5,1.5,75.39,16482
Birmingham,Petrol Car,100.4,1.5,25-34,Rain,No Peak,Weekend,3,30,7,1.72,2.58,65.22,13453.6
Bristol,Petrol Car,103.1,0.9,35-44,Rain,No Peak,Weekday,3,40,6,1.5,1.35,66.435,13815.4
Manchester,Petrol Car,120.8,1.7,55-64,Rain,No Peak,Weekend,3,60,4,1.72,2.924,74.4,16187.2
London,Petrol Car,68.8,1.6,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.4,51,9219.2
Manchester,Petrol Car,41.6,1.6,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.4,38.76,5574.4
Manchester,Petrol Car,43.3,1.5,25-34,Rain,No Peak,Weekday,3,30,7,1.5,2.25,39.525,5802.2
London,Petrol Car,136.5,1.7,35-44,Rain,No Peak,Weekday,3,40,6,1.5,2.55,81.465,18291
London,Petrol Car,110.3,1.5,35-44,Rain,No Peak,Weekend,3,40,6,1.72,2.58,69.675,14780.2
London,Petrol Car,116.8,1.5,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.25,72.6,15651.2
Manchester,Petrol Car,129.2,1.5,35-44,Rain,No Peak,Weekday,3,40,6,1.5,2.25,78.18,17312.8
Birmingham,Petrol Car,117.9,1.6,35-44,Rain,No Peak,Weekday,3,40,6,1.5,2.4,73.095,15798.6
Birmingham,Petrol Car,120.3,1.6,45-54,Rain,No Peak,Weekday,3,50,5,1.5,2.4,74.175,16120.2
Liverpool,Petrol Car,52.5,1.6,45-54,Rain,No Peak,Weekend,3,50,5,1.72,2.752,43.665,7035
London,Petrol Car,86.1,1.4,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.1,58.785,11537.4
Birmingham,Petrol Car,82.2,1.4,55-64,Rain,No Peak,Weekday,3,60,4,1.5,2.1,57.03,11014.8
Bristol,Petrol Car,75.9,1.5,18-24,Cloudy,No Peak,Weekend,3,21,8,1.45,2.175,54.195,10170.6
Birmingham,Petrol Car,106.9,2.1,18-24,Cloudy,No Peak,Weekday,3,21,8,1.26,2.646,68.145,14324.6
Newcastle,Petrol Car,58.3,1.9,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,3.61,46.275,7812.2
Liverpool,Petrol Car,82.5,1.5,35-44,Cloudy,Peak,Weekend,3,40,6,2.18,3.27,57.165,11055
Newcastle,Petrol Car,107.4,1.2,35-44,Cloudy,Peak,Weekend,3,40,6,2.18,2.616,68.37,14391.6
London,Petrol Car,51.9,1.8,55-64,Cloudy,No Peak,Weekend,3,60,4,1.45,2.61,43.395,6954.6
London,Petrol Car,117.9,1.3,25-34,Cloudy,Peak,Weekend,3,30,7,2.18,2.834,73.095,15798.6
Birmingham,Petrol Car,72.4,1.3,25-34,Cloudy,Peak,Weekend,3,30,7,2.18,2.834,52.62,9701.6
Manchester,Petrol Car,129.2,1.3,45-54,Cloudy,No Peak,Weekday,3,50,5,1.26,1.638,78.18,17312.8
Newcastle,Petrol Car,44.7,1.5,45-54,Cloudy,No Peak,Weekend,3,50,5,1.45,2.175,40.155,5989.8
Newcastle,Petrol Car,96.8,1.7,45-54,Cloudy,Peak,Weekend,3,50,5,2.18,3.706,63.6,12971.2
Manchester,Petrol Car,91.2,1.6,45-54,Cloudy,No Peak,Weekday,3,50,5,1.26,2.016,61.08,12220.8
London,Petrol Car,41.2,1.8,55-64,Cloudy,No Peak,Weekend,3,60,4,1.45,2.61,38.58,5520.8
London,Petrol Car,110.2,1.4,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,2.66,69.63,14766.8
London,Petrol Car,125.2,1.7,25-34,Cloudy,Peak,Weekday,3,30,7,1.9,3.23,76.38,16776.8
Birmingham,Petrol Car,101.7,1.3,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,2.47,65.805,13627.8
Newcastle,Petrol Car,136.7,1.7,18-24,Cloudy,No Peak,Weekday,3,21,8,1.26,2.142,81.555,18317.8
Newcastle,Petrol Car,122.6,1,35-44,Cloudy,No Peak,Weekday,3,40,6,1.26,1.26,75.21,16428.4
Newcastle,Petrol Car,119.8,1.5,35-44,Cloudy,Peak,Weekday,3,40,6,1.9,2.85,73.95,16053.2
London,Petrol Car,107.5,1.7,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,3.23,68.415,14405
Newcastle,Petrol Car,130.8,1.3,55-64,Cloudy,No Peak,Weekend,3,60,4,1.45,1.885,78.9,17527.2
Manchester,Petrol Car,80.8,1.3,35-44,Cloudy,No Peak,Weekday,3,40,6,1.26,1.638,56.4,10827.2
Manchester,Petrol Car,123.1,1,35-44,Cloudy,Peak,Weekday,3,40,6,1.9,1.9,75.435,16495.4
Liverpool,Petrol Car,52.2,1.8,18-24,Cloudy,Peak,Weekend,3,21,8,2.18,3.924,43.53,6994.8
Liverpool,Petrol Car,89,1.8,25-34,Cloudy,Peak,Weekday,3,30,7,1.9,3.42,60.09,11926
Manchester,Petrol Car,91.9,1.4,35-44,Cloudy,Peak,Weekend,3,40,6,2.18,3.052,61.395,12314.6
Newcastle,Petrol Car,56.4,1.3,25-34,Cloudy,No Peak,Weekday,3,30,7,1.26,1.638,45.42,7557.6
London,Petrol Car,106.8,2.1,18-24,Cloudy,Peak,Weekend,3,21,8,2.18,4.578,68.1,14311.2
Newcastle,Petrol Car,142.2,1.5,18-24,Cloudy,Peak,Weekend,3,21,8,2.18,3.27,84.03,19054.8
Bristol,Petrol Car,125.1,1.4,18-24,Cloudy,No Peak,Weekend,3,21,8,1.45,2.03,76.335,16763.4
London,Petrol Car,93,1.1,35-44,Cloudy,No Peak,Weekday,3,40,6,1.26,1.386,61.89,12462
Manchester,Petrol Car,126.8,1.9,65+,Cloudy,Peak,Weekend,3,68,4,2.18,4.142,77.1,16991.2
Newcastle,Petrol Car,54.8,1.8,35-44,Cloudy,Peak,Weekday,3,40,6,1.9,3.42,44.7,7343.2
London,Petrol Car,76.7,1.3,18-24,Cloudy,No Peak,Weekday,3,21,8,1.26,1.638,54.555,10277.8
Newcastle,Petrol Car,104.1,1.1,18-24,Cloudy,No Peak,Weekend,3,21,8,1.45,1.595,66.885,13949.4
Liverpool,Petrol Car,111.9,1.6,25-34,Cloudy,Peak,Weekend,3,30,7,2.18,3.488,70.395,14994.6
Manchester,Petrol Car,126.7,2.1,25-34,Cloudy,Peak,Weekday,3,30,7,1.9,3.99,77.055,16977.8
Birmingham,Petrol Car,106.7,1.6,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,3.04,68.055,14297.8
Bristol,Petrol Car,109.4,2,55-64,Cloudy,Peak,Weekend,3,60,4,2.18,4.36,69.27,14659.6
Liverpool,Petrol Car,42.1,1.6,45-54,Cloudy,Peak,Weekday,3,50,5,1.9,3.04,38.985,5641.4
Bristol,Petrol Car,108.9,1.4,45-54,Cloudy,No Peak,Weekend,3,50,5,1.45,2.03,69.045,14592.6
Manchester,Petrol Car,99.1,1.5,25-34,Cloudy,No Peak,Weekend,3,30,7,1.45,2.175,64.635,13279.4
London,Petrol Car,147,1.3,25-34,Cloudy,Peak,Weekday,3,30,7,1.9,2.47,86.19,19698
Liverpool,Petrol Car,143.7,1.7,18-24,Cloudy,Peak,Weekend,3,21,8,2.18,3.706,84.705,19255.8
London,Petrol Car,99.7,1.7,45-54,Cloudy,No Peak,Weekend,3,50,5,1.45,2.465,64.905,13359.8
Bristol,Petrol Car,126.2,1.5,55-64,Cloudy,No Peak,Weekend,3,60,4,1.45,2.175,76.83,16910.8
Liverpool,Petrol Car,155.1,1.1,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,2.09,89.835,20783.4
Birmingham,Petrol Car,87,1.8,18-24,Cloudy,No Peak,Weekend,3,21,8,1.45,2.61,59.19,11658
Bristol,Petrol Car,72.6,1.3,18-24,Cloudy,Peak,Weekend,3,21,8,2.18,2.834,52.71,9728.4
Manchester,Petrol Car,62.4,1.8,35-44,Cloudy,No Peak,Weekday,3,40,6,1.26,2.268,48.12,8361.6
London,Petrol Car,51.1,1.6,45-54,Cloudy,Peak,Weekday,3,50,5,1.9,3.04,43.035,6847.4
Birmingham,Petrol Car,117.5,1.7,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,3.23,72.915,15745
Liverpool,Petrol Car,71.7,1.7,25-34,Cloudy,No Peak,Weekday,3,30,7,1.26,2.142,52.305,9607.8
London,Petrol Car,70.4,1.4,25-34,Cloudy,No Peak,Weekday,3,30,7,1.26,1.764,51.72,9433.6
London,Petrol Car,89.2,0.9,55-64,Cloudy,Peak,Weekday,3,60,4,1.9,1.71,60.18,11952.8
Birmingham,Petrol Car,130.1,1.8,55-64,Cloudy,Peak,Weekday,3,60,4,1.9,3.42,78.585,17433.4
Liverpool,Petrol Car,128.5,1.9,45-54,Cloudy,No Peak,Weekday,3,50,5,1.26,2.394,77.865,17219
London,Petrol Car,78.1,1.2,65+,Cloudy,Peak,Weekday,3,68,4,1.9,2.28,55.185,10465.4
Birmingham,Petrol Car,70.2,1.7,55-64,Cloudy,No Peak,Weekend,3,60,4,1.45,2.465,51.63,9406.8
Manchester,Petrol Car,60.1,1.1,35-44,Cloudy,Peak,Weekend,3,40,6,2.18,2.398,47.085,8053.4
London,Petrol Car,110,1.6,35-44,Cloudy,No Peak,Weekday,3,40,6,1.26,2.016,69.54,14740
Liverpool,Petrol Car,135.2,1.8,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,3.42,80.88,18116.8
London,Petrol Car,119,1.8,25-34,Cloudy,No Peak,Weekday,3,30,7,1.26,2.268,73.59,15946
Bristol,Petrol Car,159,1.7,45-54,Cloudy,Peak,Weekday,3,50,5,1.9,3.23,91.59,21306
Bristol,Petrol Car,165.8,1.6,55-64,Cloudy,Peak,Weekend,3,60,4,2.18,3.488,94.65,22217.2
London,Petrol Car,134.3,1.7,45-54,Cloudy,No Peak,Weekend,3,50,5,1.45,2.465,80.475,17996.2
Birmingham,Petrol Car,104.3,0.9,18-24,Cloudy,No Peak,Weekday,3,21,8,1.26,1.134,66.975,13976.2
Bristol,Petrol Car,137.5,1.6,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,3.04,81.915,18425
Newcastle,Petrol Car,73.7,1.3,45-54,Cloudy,No Peak,Weekday,3,50,5,1.26,1.638,53.205,9875.8
Bristol,Petrol Car,123.2,1,45-54,Cloudy,Peak,Weekend,3,50,5,2.18,2.18,75.48,16508.8
Birmingham,Petrol Car,100.3,1.9,35-44,Cloudy,Peak,Weekend,3,40,6,2.18,4.142,65.175,13440.2
Manchester,Petrol Car,109.4,1.6,25-34,Cloudy,Peak,Weekday,3,30,7,1.9,3.04,69.27,14659.6
Bristol,Petrol Car,93.9,1.5,25-34,Cloudy,No Peak,Weekday,3,30,7,1.26,1.89,62.295,12582.6
London,Petrol Car,87.8,1.8,65+,Cloudy,Peak,Weekend,3,68,4,2.18,3.924,59.55,11765.2
Bristol,Petrol Car,133.4,1.5,25-34,Cloudy,Peak,Weekend,3,30,7,2.18,3.27,80.07,17875.6
Bristol,Petrol Car,113.3,1.6,35-44,Cloudy,Peak,Weekday,3,40,6,1.9,3.04,71.025,15182.2
Manchester,Petrol Car,129.5,1.7,25-34,Cloudy,Peak,Weekend,3,30,7,2.18,3.706,78.315,17353
Bristol,Petrol Car,106,1.6,25-34,Cloudy,Peak,Weekday,3,30,7,1.9,3.04,67.74,14204
Bristol,Petrol Car,77.7,1.7,18-24,Cloudy,Peak,Weekend,3,21,8,2.18,3.706,55.005,10411.8
Manchester,Petrol Car,106,1.5,25-34,Cloudy,Peak,Weekend,3,30,7,2.18,3.27,67.74,14204
London,Petrol Car,126.1,1.2,55-64,Cloudy,Peak,Weekday,3,60,4,1.9,2.28,76.785,16897.4
London,Petrol Car,64.1,1.4,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,2.66,48.885,8589.4
Newcastle,Petrol Car,127.3,1.7,25-34,Cloudy,No Peak,Weekday,3,30,7,1.26,2.142,77.325,17058.2
Newcastle,Petrol Car,114.1,1.7,55-64,Cloudy,No Peak,Weekend,3,60,4,1.45,2.465,71.385,15289.4
Bristol,Petrol Car,51.2,1.4,18-24,Cloudy,No Peak,Weekday,3,21,8,1.26,1.764,43.08,6860.8
Liverpool,Petrol Car,80.4,1.7,25-34,Cloudy,Peak,Weekend,3,30,7,2.18,3.706,56.22,10773.6
Birmingham,Petrol Car,88.4,2,25-34,Cloudy,No Peak,Weekday,3,30,7,1.26,2.52,59.82,11845.6
Bristol,Petrol Car,40.5,1.5,35-44,Cloudy,Peak,Weekday,3,40,6,1.9,2.85,38.265,5427
London,Petrol Car,100.4,1.8,65+,Cloudy,Peak,Weekend,3,68,4,2.18,3.924,65.22,13453.6
Birmingham,Petrol Car,82.2,1.8,45-54,Cloudy,Peak,Weekend,3,50,5,2.18,3.924,57.03,11014.8
Manchester,Petrol Car,122.7,1.5,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,2.85,75.255,16441.8
Manchester,Petrol Car,86.3,1.1,45-54,Cloudy,No Peak,Weekend,3,50,5,1.45,1.595,58.875,11564.2
Newcastle,Petrol Car,84.1,1.9,55-64,Cloudy,Peak,Weekend,3,60,4,2.18,4.142,57.885,11269.4
Manchester,Petrol Car,116.6,1.3,35-44,Cloudy,Peak,Weekend,3,40,6,2.18,2.834,72.51,15624.4
Manchester,Petrol Car,93.9,1.6,18-24,Cloudy,Peak,Weekend,3,21,8,2.18,3.488,62.295,12582.6
Bristol,Petrol Car,77.5,1.3,18-24,Cloudy,No Peak,Weekday,3,21,8,1.26,1.638,54.915,10385
Newcastle,Petrol Car,129.6,1.7,55-64,Cloudy,No Peak,Weekday,3,60,4,1.26,2.142,78.36,17366.4
Newcastle,Petrol Car,147.5,1.3,25-34,Cloudy,No Peak,Weekday,3,30,7,1.26,1.638,86.415,19765
Birmingham,Petrol Car,118.4,1.5,35-44,Cloudy,Peak,Weekend,3,40,6,2.18,3.27,73.32,15865.6
Liverpool,Petrol Car,119.1,1.9,55-64,Cloudy,Peak,Weekday,3,60,4,1.9,3.61,73.635,15959.4
Birmingham,Petrol Car,112.6,1.8,35-44,Cloudy,Peak,Weekday,3,40,6,1.9,3.42,70.71,15088.4
London,Petrol Car,120.4,1.2,35-44,Cloudy,No Peak,Weekday,3,40,6,1.26,1.512,74.22,16133.6
London,Petrol Car,117.2,1.4,25-34,Cloudy,Peak,Weekday,3,30,7,1.9,2.66,72.78,15704.8
Manchester,Petrol Car,81.4,1.5,25-34,Cloudy,No Peak,Weekend,3,30,7,1.45,2.175,56.67,10907.6
Birmingham,Petrol Car,50.7,1.7,35-44,Cloudy,Peak,Weekend,3,40,6,2.18,3.706,42.855,6793.8
Newcastle,Petrol Car,81.7,1.5,18-24,Cloudy,Peak,Weekend,3,21,8,2.18,3.27,56.805,10947.8
Manchester,Petrol Car,99.7,1.6,18-24,Cloudy,Peak,Weekend,3,21,8,2.18,3.488,64.905,13359.8
Newcastle,Petrol Car,141.4,1.7,45-54,Cloudy,Peak,Weekend,3,50,5,2.18,3.706,83.67,18947.6
Bristol,Petrol Car,46.5,1.6,25-34,Cloudy,No Peak,Weekend,3,30,7,1.45,2.32,40.965,6231
Bristol,Petrol Car,99.7,1.7,35-44,Cloudy,No Peak,Weekend,3,40,6,1.45,2.465,64.905,13359.8
Birmingham,Petrol Car,151.2,1.6,18-24,Cloudy,No Peak,Weekend,3,21,8,1.45,2.32,88.08,20260.8
Liverpool,Petrol Car,126.6,1.5,25-34,Cloudy,No Peak,Weekday,3,30,7,1.26,1.89,77.01,16964.4
Manchester,Petrol Car,125.1,1.8,25-34,Cloudy,Peak,Weekday,3,30,7,1.9,3.42,76.335,16763.4
London,Petrol Car,190,1.6,18-24,Cloudy,No Peak,Weekday,3,21,8,1.26,2.016,105.54,25460
Manchester,Petrol Car,94.9,2,18-24,Cloudy,Peak,Weekend,3,21,8,2.18,4.36,62.745,12716.6
London,Petrol Car,114.2,1.4,45-54,Cloudy,No Peak,Weekday,3,50,5,1.26,1.764,71.43,15302.8
Manchester,Petrol Car,82.5,1.5,45-54,Cloudy,Peak,Weekday,3,50,5,1.9,2.85,57.165,11055
Bristol,Petrol Car,75.8,1.5,35-44,Cloudy,Peak,Weekend,3,40,6,2.18,3.27,54.15,10157.2
Bristol,Petrol Car,80.8,1.2,45-54,Cloudy,No Peak,Weekday,3,50,5,1.26,1.512,56.4,10827.2
Liverpool,Petrol Car,96.3,1.4,18-24,Cloudy,Peak,Weekend,3,21,8,2.18,3.052,63.375,12904.2
Birmingham,Petrol Car,107.2,1.8,18-24,Cloudy,No Peak,Weekend,3,21,8,1.45,2.61,68.28,14364.8
Bristol,Petrol Car,70.6,1.6,35-44,Cloudy,Peak,Weekday,3,40,6,1.9,3.04,51.81,9460.4
Bristol,Petrol Car,70.1,1.7,25-34,Cloudy,Peak,Weekend,3,30,7,2.18,3.706,51.585,9393.4
Liverpool,Petrol Car,124.4,1.1,35-44,Cloudy,Peak,Weekend,3,40,6,2.18,2.398,76.02,16669.6
Manchester,Petrol Car,143.9,1.8,45-54,Cloudy,No Peak,Weekend,3,50,5,1.45,2.61,84.795,19282.6
Bristol,Petrol Car,134.6,1.9,55-64,Cloudy,Peak,Weekend,3,60,4,2.18,4.142,80.61,18036.4
Bristol,Petrol Car,88.5,1.9,35-44,Cloudy,Peak,Weekday,3,40,6,1.9,3.61,59.865,11859
Newcastle,Petrol Car,116.7,1.7,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,3.23,72.555,15637.8
Bristol,Petrol Car,99.1,1.8,35-44,Cloudy,Peak,Weekday,3,40,6,1.9,3.42,64.635,13279.4
Newcastle,Petrol Car,97.5,1.3,35-44,Cloudy,Peak,Weekday,3,40,6,1.9,2.47,63.915,13065
London,Petrol Car,110.6,1.3,18-24,Cloudy,Peak,Weekday,3,21,8,1.9,2.47,69.81,14820.4
London,Petrol Car,116.9,2,18-24,Cloudy,No Peak,Weekday,3,21,8,1.26,2.52,72.645,15664.6
Liverpool,Petrol Car,33.8,2,18-24,Cloudy,No Peak,Weekend,3,21,8,1.45,2.9,35.25,4529.2
Birmingham,Petrol Car,122.8,1.5,45-54,Cloudy,Peak,Weekend,3,50,5,2.18,3.27,75.3,16455.2
Newcastle,Petrol Car,109.3,1.8,45-54,Cloudy,No Peak,Weekend,3,50,5,1.45,2.61,69.225,14646.2
London,Petrol Car,69.6,1.6,35-44,Cloudy,Peak,Weekend,3,40,6,2.18,3.488,51.36,9326.4
Birmingham,Petrol Car,115.5,1.5,35-44,Cloudy,Peak,Weekend,3,40,6,2.18,3.27,72.015,15477
Manchester,Petrol Car,62.6,1.7,45-54,Cloudy,Peak,Weekday,3,50,5,1.9,3.23,48.21,8388.4
Birmingham,Petrol Car,104.3,1.6,45-54,Cloudy,No Peak,Weekday,3,50,5,1.26,2.016,66.975,13976.2
London,Petrol Car,121,1.8,18-24,Cloudy,No Peak,Weekday,3,21,8,1.26,2.268,74.49,16214
Bristol,Petrol Car,71.1,1.4,18-24,Cloudy,No Peak,Weekday,3,21,8,1.26,1.764,52.035,9527.4
Liverpool,Petrol Car,78.6,2,35-44,Cloudy,Peak,Weekday,3,40,6,1.9,3.8,55.41,10532.4
Birmingham,Petrol Car,123.1,1.5,35-44,Cloudy,Peak,Weekday,3,40,6,1.9,2.85,75.435,16495.4
Newcastle,Petrol Car,82.7,1.5,18-24,Cloudy,No Peak,Weekend,3,21,8,1.45,2.175,57.255,11081.8
London,Petrol Car,95.1,2,45-54,Cloudy,No Peak,Weekend,3,50,5,1.45,2.9,62.835,12743.4
Liverpool,Petrol Car,135.9,1.2,55-64,Cloudy,No Peak,Weekend,3,60,4,1.45,1.74,81.195,18210.6
Manchester,Petrol Car,101.9,1.6,18-24,Cloudy,Peak,Weekend,3,21,8,2.18,3.488,65.895,13654.6
